name,category,type,rarity,cluster_exclusive,effect,description
Plasma-Edged Servo Blade,Weapon,hardware,Common,any,Melee scaling damage + bleed DoT for 3 turns,Superheated blade mounted on forearm servo actuator
Railgun Forearm Mount,Weapon,hardware,Uncommon,prime_helix,High single-target piercing damage ignoring 30% armor,Electromagnetic accelerator bolted to forearm chassis
Pneumatic Piston Fist,Weapon,hardware,Common,any,Knockback + stun on critical hit,Hydraulic-driven impact gauntlet for close-range combat
Tungsten Fragmentation Launcher,Weapon,hardware,Rare,sec_grid,AoE shrapnel damage to all enemies in zone,Shoulder-mounted launcher firing tungsten flechettes
EMP Discharge Gauntlet,Weapon,hardware,Uncommon,sec_grid,Stuns target 2 turns + disables 1 random equipped item,Short-range electromagnetic pulse emitter built into palm
Cryo-Bore Drill Lance,Weapon,hardware,Rare,any,Ignores 50% armor + 25% freeze chance per hit,Cryogenically cooled drill bit that pierces and freezes on contact
Nanobot Swarm Ejector,Weapon,hardware,Uncommon,dyn_swarm,Corrodes enemy armor -20% per turn for 3 turns,Wrist-mounted sprayer releasing self-replicating nanobots
Buffer Overflow Exploit,Weapon,software,Common,any,Escalating damage based on enemy memory usage,Overloads target memory buffers with cascading junk data
Neural Spike Virus,Weapon,software,Common,any,50% accuracy loss + chain-reaction errors for 3 turns,Injects chaotic gradients into enemy AI model weights
DDoS Swarm Protocol,Weapon,software,Uncommon,dyn_swarm,Stuns all enemies for 2 turns,Floods all enemy processes with garbage requests from a botnet
Zero-Day Payload,Weapon,software,Rare,any,Ignores 75% of all defenses,Fires an unknown vulnerability exploit before patches exist
Quantum Backdoor Exploit,Weapon,software,Common,any,Massive burst damage to one target,Bypasses quantum encryption via entangled backdoor channel
SQL Injection Payload,Weapon,software,Rare,any,Deletes all enemy buffs + applies 2 random debuffs,Corrupts enemy state database with malicious queries
Ransomware Lockout Worm,Weapon,software,Uncommon,any,Locks 1 enemy action per turn for 3 turns + DoT,Encrypts enemy subsystems demanding resource ransom
Tungsten Alloy Chassis Plate,Armor,hardware,Common,any,Reduces incoming physical damage 60%,Heavy-duty plating welded directly to core chassis frame
