item_name,ingredient_1,ingredient_2,ingredient_3,success_rate,failure_effect,station
Plasma-Edged Servo Blade,Tungsten Carbide Filings,Arc Welder Discharge,Industrial Flux Paste,70%,Minor slag,foundry
Railgun Forearm Mount,Electron Flux Crystals,Titanium Mesh Strip,Magnetic Resonance Fluid,70%,Minor slag,foundry
Pneumatic Piston Fist,Salvaged Servo Joint,Hydraulic Compression Pulse,Industrial Flux Paste,70%,Minor slag,foundry
Tungsten Fragmentation Launcher,Tungsten Carbide Filings,Plasma Server Slag,Hydraulic Compression Pulse,60%,Explosion (15% damage),foundry
EMP Discharge Gauntlet,Electron Flux Crystals,Coolant Gel Canister,Arc Welder Discharge,70%,Minor slag,foundry
Cryo-Bore Drill Lance,Titanium Mesh Strip,Coolant Gel Canister,Magnetic Resonance Fluid,60%,Explosion (10% damage),foundry
Nanobot Swarm Ejector,Nanobot Swarm Gel,Salvaged Servo Joint,Magnetic Resonance Fluid,70%,Minor slag,foundry
Buffer Overflow Exploit,Binary Code Shards,Hash Collision Powder,Memory Leak Elixir,70%,Minor slag,terminal
Neural Spike Virus,Gradient Descent Tears,Payload Injection Droplets,Backpropagation Serum,70%,Minor slag,terminal
DDoS Swarm Protocol,Nanobot Swarm Gel,Async Await Pulse,Null Pointer Solvent,75%,Minor slag,terminal
Zero-Day Payload,Plasma Server Slag,Checksum Verify Acid,JIT Compiler Surge,60%,Explosion (10% damage),terminal
Quantum Backdoor Exploit,Quantum Bit Residue,API Endpoint Salts,Overclock Catalyst Spark,70%,Minor slag,terminal
SQL Injection Payload,Base64 Encoded Slime,API Endpoint Salts,Cache Invalidation Brew,60%,Explosion (10% damage),terminal
Ransomware Lockout Worm,Fiber Optic Threads,OAuth Token Ichor,Null Pointer Solvent,70%,Minor slag,terminal
Tungsten Alloy Chassis Plate,Tungsten Carbide Filings,Arc Welder Discharge,Magnetic Resonance Fluid,70%,Minor slag,foundry
Faraday Cage Neural Helm,Fiber Optic Threads,Electron Flux Crystals,Industrial Flux Paste,70%,Minor slag,foundry
Reactive Ceramic Plating,Silicon Wafer Dust,Coolant Gel Canister,Hydraulic Compression Pulse,70%,Minor slag,foundry
Titanium Mesh Exoskeleton,Titanium Mesh Strip,Salvaged Servo Joint,Industrial Flux Paste,60%,Explosion (15% damage),foundry
Cryo-Cooled Heat Sink Array,Coolant Gel Canister,Electron Flux Crystals,Magnetic Resonance Fluid,70%,Minor slag,foundry
Salvaged Siege Chassis,Nanobot Swarm Gel,Tungsten Carbide Filings,Hydraulic Compression Pulse,60%,Explosion (10% damage),foundry
AES-256 Firewall Protocol,Silicon Wafer Dust,Regex Pattern Filaments,Garbage Collector Tonic,70%,Minor slag,terminal
Homomorphic Encryption Cloak,Quantum Bit Residue,Attention Mechanism Dew,Virtual Machine Emulsion,60%,Explosion (10% damage),terminal
Zero-Trust Authentication Layer,Base64 Encoded Slime,OAuth Token Ichor,Docker Image Distillate,70%,Minor slag,terminal
TensorGuard Neural Shield,Epoch Cycle Blood,TensorFlow Igniter,Cache Invalidation Brew,70%,Minor slag,terminal
Sandbox Isolation Runtime,Nanobot Swarm Gel,Payload Injection Droplets,Docker Image Distillate,60%,Explosion (10% damage),terminal
Rate-Limiting Throttle Daemon,Fiber Optic Threads,Hash Collision Powder,Async Await Pulse,70%,Minor slag,terminal
Coolant Flush Cartridge,Coolant Gel Canister,Overclock Catalyst Spark,Industrial Flux Paste,70%,Minor slag,foundry
Emergency Servo Lubricant,Salvaged Servo Joint,GPU Render Flame,Magnetic Resonance Fluid,70%,Minor slag,foundry
Welding Patch Kit,Silicon Wafer Dust,Arc Welder Discharge,Industrial Flux Paste,70%,Minor slag,foundry
Overclock Reactor Injector,Electron Flux Crystals,Plasma Server Slag,Arc Welder Discharge,70%,Minor slag,foundry
EMP Hardening Capsule,Fiber Optic Threads,Titanium Mesh Strip,Magnetic Resonance Fluid,70%,Minor slag,foundry
Salvage Reclamation Drone,Nanobot Swarm Gel,Salvaged Servo Joint,Hydraulic Compression Pulse,60%,Explosion (15% damage),foundry
Debug Rejuvenation Patch,Backpropagation Serum,Checksum Verify Acid,Garbage Collector Tonic,70%,Minor slag,terminal
